fname,label
clip_3a39d4681.wav,3
clip_b3f6bb576.wav,7
clip_95d7eaf94.wav,6
clip_d8822c49f.wav,7
clip_14f8e906e.wav,3
clip_945a33ff4.wav,11
clip_d0f7fdb87.wav,11
clip_0e13d8466.wav,11
clip_2aa4fb55c.wav,11
clip_e71aca47f.wav,11
clip_60439ed0f.wav,3
clip_6a723c8d9.wav,11
clip_663e0764f.wav,10
clip_57d25a3de.wav,11
clip_ade5a5ce8.wav,11
clip_66117d6a7.wav,10
clip_4f3f3ecb5.wav,11
clip_c3f92f105.wav,11
clip_71c3c7807.wav,11
clip_4aedbeac2.wav,10
clip_097e4a965.wav,11
clip_c5e80f835.wav,10
clip_13a77b1eb.wav,7
clip_63fbdcd3b.wav,3
clip_ebc35a077.wav,7
clip_a733eb45f.wav,11
clip_91d272e0b.wav,7
clip_f4d699b31.wav,11
clip_1d91d99ff.wav,10
clip_728e1dbda.wav,11
clip_659e23fdf.wav,11
clip_20330d0a9.wav,10
clip_4be76732a.wav,10
clip_a33a39c86.wav,11
clip_59dd207ac.wav,7
clip_7c85050b9.wav,7
clip_8293b8841.wav,10
clip_e76ffebcb.wav,11
clip_75decdd82.wav,11
clip_20cbe3df1.wav,11
clip_af760adb4.wav,11
clip_40bd7a08a.wav,10
clip_f0203c092.wav,11
clip_9a2cb596e.wav,11
clip_f4aad36b6.wav,10
clip_5301aa091.wav,10
clip_364ed2fe2.wav,11
clip_b8ed1f31a.wav,11
clip_679f40ced.wav,6
clip_be7bfe6a3.wav,10
clip_cf2799681.wav,10
clip_da3c873d2.wav,6
clip_3a1374157.wav,7
clip_1fe194a10.wav,10
clip_a4621903c.wav,10
clip_9df862b8c.wav,7
clip_8193d8b73.wav,10
clip_19b1bb5d7.wav,11
clip_2692aa3f5.wav,10
clip_3a4e69aeb.wav,10
clip_f21803ca4.wav,10
clip_56c2d8951.wav,10
clip_bc6684f00.wav,10
clip_a57aae273.wav,11
clip_ac3c21873.wav,7
clip_77655fb12.wav,10
clip_f314dc355.wav,10
clip_145b3439a.wav,10
clip_195117b91.wav,10
clip_01be382ca.wav,10
clip_9ffae31fe.wav,11
clip_48e701bec.wav,10
clip_a67101802.wav,11
clip_00a6a875c.wav,3
clip_9b9aa2da6.wav,10
clip_7c66784e3.wav,10
clip_6ab6a8d1b.wav,11
clip_5a968bd2b.wav,11
clip_339b636d8.wav,11
clip_cf876a9a3.wav,10
clip_26861838b.wav,3
clip_fc94ff65e.wav,11
clip_abbb4c6de.wav,10
clip_ce2535b21.wav,10
clip_3a0a3cb79.wav,11
clip_556613f68.wav,10
clip_f5dcd0359.wav,11
clip_883d3a521.wav,10
clip_5f2fad863.wav,10
clip_0de9b5485.wav,11
clip_6bc957be4.wav,11
clip_06e03cad8.wav,10
clip_fb26a0b7c.wav,10
clip_c51393898.wav,6
clip_98d67112c.wav,11
clip_0a3228f86.wav,11
clip_540cd71bb.wav,11
clip_313243636.wav,10
clip_b7f76618f.wav,7
clip_2b7f88a88.wav,11
clip_6ac99af7a.wav,11
clip_524eccb0c.wav,11
clip_87d30ee69.wav,10
clip_10fb5445f.wav,10
clip_2c466927b.wav,7
clip_713c34ac0.wav,10
clip_fcf736f93.wav,11
clip_056d28fc9.wav,10
clip_97e71946b.wav,10
clip_78675be4c.wav,10
clip_85743fe4f.wav,11
clip_3e2186a3e.wav,11
clip_150d30786.wav,10
clip_79beebb83.wav,11
clip_cc1061fba.wav,11
clip_e548d28fe.wav,3
clip_7c468e219.wav,11
clip_f5803ae54.wav,11
clip_b2384f5ad.wav,9
clip_187f40a12.wav,3
clip_dd2dcf88f.wav,10
clip_7b2b17c32.wav,10
clip_99af8abd8.wav,10
clip_749e812df.wav,11
clip_e4d96716b.wav,10
clip_7550d832b.wav,7
clip_fe3e19c46.wav,11
clip_3fb74ba3c.wav,10
clip_4be60be5d.wav,11
clip_a47c2797c.wav,10
clip_5e9e3a1fa.wav,11
clip_918e7b189.wav,11
clip_ab58c071e.wav,7
clip_f6099db7d.wav,10
clip_cb50c38e0.wav,10
clip_4b620aaa6.wav,10
clip_8cf3280b2.wav,11
clip_152e84771.wav,10
clip_7397ed195.wav,0
clip_16a712723.wav,11
clip_f2b2a3459.wav,11
clip_b9cd03503.wav,11
clip_1c795b2d5.wav,11
clip_2fb813b01.wav,7
clip_2aa933ad9.wav,10
clip_25abaddd4.wav,7
clip_ef96064ac.wav,11
clip_8fa1ebf50.wav,10
clip_801f8883e.wav,0
clip_d9f4d1060.wav,11
clip_be520a5fc.wav,11
clip_f087f3727.wav,11
clip_181588331.wav,10
clip_2da00c360.wav,3
clip_3cfa64278.wav,11
clip_452214b15.wav,10
clip_62831ff6b.wav,11
clip_735f98530.wav,11
clip_94ca372be.wav,7
clip_edfe61268.wav,10
clip_8ed5049cd.wav,10
clip_dd04971ba.wav,3
clip_d5aebc85f.wav,11
clip_2a592bf7a.wav,11
clip_88a944185.wav,10
clip_836de77da.wav,10
clip_676633e3f.wav,11
clip_ddc2ba038.wav,10
clip_7d3898e51.wav,10
clip_ad6d105f1.wav,3
clip_e0342dcda.wav,11
clip_7789b90fd.wav,10
clip_86c3bb5b2.wav,10
clip_9ffba2254.wav,11
clip_b4c576168.wav,10
clip_4a96657a4.wav,10
clip_8c84a58b4.wav,10
clip_396adcfb5.wav,11
clip_90873c049.wav,7
clip_83cb6936c.wav,11
clip_0de5bb0de.wav,10
clip_613e76c70.wav,11
clip_5c22e8615.wav,3
clip_ca94d86fc.wav,11
clip_66bc1f524.wav,11
clip_c7fc68cf3.wav,7
clip_7598fcaa6.wav,0
clip_5bcf49a5b.wav,11
clip_6586970ec.wav,10
clip_81736ed25.wav,7
clip_cfde063a7.wav,11
clip_f7eb92d08.wav,10
clip_b83062022.wav,11
clip_e23dd4fdc.wav,11
clip_4b9225347.wav,10
clip_5952cc717.wav,6
clip_5a677cc52.wav,11
clip_84554c743.wav,11
clip_3f10b47e7.wav,7
clip_13a60e44a.wav,11
clip_bd91c1168.wav,11
clip_4c7fcce07.wav,10
clip_be23ad336.wav,10
clip_90c2f893f.wav,11
clip_5d5179733.wav,10
