fname,label
clip_c343fc969.wav,10
clip_d66fdd032.wav,11
clip_fed64c68f.wav,10
clip_f88808ba3.wav,11
clip_456718b47.wav,10
clip_134bee58c.wav,7
clip_6ff0eb1ba.wav,11
clip_26dddcbb7.wav,10
clip_c0ebff521.wav,11
clip_6e1869bf9.wav,11
clip_bfff5a7a8.wav,10
clip_74665e93d.wav,11
clip_305cef88b.wav,10
clip_21cef5890.wav,10
clip_5025b89ea.wav,10
clip_d80f47d90.wav,10
clip_63dd14a61.wav,10
clip_0e1bf6fb0.wav,11
clip_e3f8cadc1.wav,11
clip_756f73a7b.wav,10
clip_c758662eb.wav,11
clip_62f4a8325.wav,11
clip_69f930fbd.wav,10
clip_05c3ebff0.wav,11
clip_1e8d0700a.wav,11
clip_73f8f8190.wav,10
clip_58db1b337.wav,11
clip_9577131f9.wav,10
clip_8daf1c351.wav,11
clip_3cf11df29.wav,11
clip_8819ac130.wav,10
clip_05e262a64.wav,11
clip_2c88ffaed.wav,10
clip_b4e43d2ab.wav,6
clip_70250a352.wav,10
clip_c47a2229a.wav,11
clip_817d4b236.wav,11
clip_43c66e41e.wav,10
clip_88483a080.wav,10
clip_2b7d5e336.wav,10
clip_a726d485d.wav,10
clip_5c3447df2.wav,11
clip_dd50f67c5.wav,11
clip_f5d7e3faa.wav,10
clip_c238553cd.wav,10
clip_b7b87cbd1.wav,11
clip_4e6c2b746.wav,11
clip_f0b7a7653.wav,5
clip_5bd0064ca.wav,11
clip_921f32018.wav,10
clip_b248ef426.wav,7
clip_11ad58903.wav,10
clip_93ba290cd.wav,7
clip_16fb36a69.wav,11
clip_41ed98ac2.wav,11
clip_16bfbad36.wav,11
clip_02ae2794e.wav,10
clip_33160aaac.wav,10
clip_f21e100b8.wav,11
clip_37a10bd5a.wav,10
clip_fb3a83674.wav,10
clip_06a8a1d63.wav,10
clip_ea45900a3.wav,7
clip_01d280b17.wav,10
clip_7209d76a2.wav,11
clip_1500183fb.wav,11
clip_270a197e1.wav,10
clip_46944bbc6.wav,11
clip_097aa2ef0.wav,11
clip_229d218a2.wav,10
clip_ca25b4f51.wav,11
clip_51bac450c.wav,11
clip_cc416b17e.wav,3
clip_da9dba9ae.wav,10
clip_82423b739.wav,10
clip_0948c7488.wav,10
clip_90b4ed3ce.wav,0
clip_c7dc09381.wav,11
clip_16e3b8f63.wav,11
clip_b79f449bd.wav,10
clip_f29450778.wav,10
clip_7022b6aa5.wav,11
clip_29a45ec46.wav,10
clip_3a9d02f20.wav,11
clip_e9c51926f.wav,10
clip_bdf79f51d.wav,11
clip_60fb9bab7.wav,11
clip_5634f345f.wav,6
clip_78511ac60.wav,11
clip_ecb8a4d37.wav,11
clip_2907d8238.wav,11
clip_79c83e859.wav,7
clip_e8b904c65.wav,11
clip_d5074d7b8.wav,11
clip_75d87a2c2.wav,10
clip_d38938216.wav,11
clip_594854885.wav,10
clip_693786c72.wav,11
clip_665bbfad5.wav,7
clip_bb9a07995.wav,11
clip_93c4433d4.wav,0
clip_598a8bf72.wav,10
clip_862e00d27.wav,10
clip_a4d1148ae.wav,10
clip_c4a2069a3.wav,11
clip_61942ecf0.wav,11
clip_2d802700f.wav,11
clip_cc1f5c703.wav,11
clip_911598134.wav,11
clip_dae4b8c82.wav,11
clip_cb3f7c914.wav,7
clip_02337c078.wav,10
clip_2190fde70.wav,11
clip_657014ba6.wav,10
clip_73229b26c.wav,6
clip_d06a69e2f.wav,6
clip_68078efe8.wav,10
clip_a96824ca8.wav,11
clip_3bf848e19.wav,10
clip_c9524da2e.wav,11
clip_7de5bdf27.wav,11
clip_d2644c73b.wav,11
clip_2e3c74a53.wav,10
clip_f8402e3b2.wav,10
clip_3b95a3022.wav,10
