fname,label
clip_da373ad89.wav,10
clip_67cade256.wav,10
clip_f205815a1.wav,10
clip_086ea236e.wav,11
clip_aaa3959fe.wav,11
clip_3ad96279b.wav,11
clip_21d88481c.wav,10
clip_d923f05ba.wav,10
clip_29dedcdfa.wav,10
clip_272b22e89.wav,10
clip_47641040d.wav,10
clip_c74aa6734.wav,10
clip_03897b67d.wav,10
clip_1b19e3e54.wav,10
clip_5a4290909.wav,11
clip_07d0bcb77.wav,10
clip_4947a9f2a.wav,10
clip_fe0d3ee31.wav,10
clip_08cb98583.wav,11
clip_63599e2c8.wav,10
clip_edde8b418.wav,11
clip_64a13475d.wav,10
clip_0288dd466.wav,10
clip_e7d3a88f8.wav,7
clip_a23131b87.wav,10
clip_cf65c3bf5.wav,10
clip_81f338b9f.wav,10
clip_ffbb74ae6.wav,11
clip_eb2beaf40.wav,7
clip_282f1d29f.wav,10
clip_153d3f518.wav,10
clip_155654336.wav,7
clip_01b97e158.wav,11
clip_70ffd7a58.wav,11
clip_e1eca4df8.wav,10
clip_bdb20ee5b.wav,10
clip_a3ec275ac.wav,11
clip_425dc1742.wav,11
clip_d24a0a764.wav,7
clip_3c58dee17.wav,11
clip_503d54015.wav,11
clip_09bff1137.wav,11
clip_0e9a464eb.wav,11
clip_ff6c83a83.wav,10
clip_1d6da17a7.wav,11
clip_71419430f.wav,11
clip_2c34ef02a.wav,11
clip_ee84bf0be.wav,3
clip_af92b259e.wav,3
clip_0729f8b62.wav,11
clip_fc03b0166.wav,11
clip_cc772f208.wav,7
clip_f02aadf88.wav,7
clip_5b0840922.wav,10
clip_1e94a9132.wav,11
clip_92c1eef8e.wav,11
clip_17971dad4.wav,11
clip_1daf24052.wav,10
clip_373d7a835.wav,10
clip_b549653d5.wav,10
clip_6f006dd9b.wav,11
clip_cadaedfb0.wav,10
clip_7da8b54f7.wav,11
clip_202b2ddfa.wav,10
clip_1ed8cfcdb.wav,11
clip_77e6bfa0a.wav,10
clip_5ff9aebc2.wav,10
clip_c42ab5e63.wav,3
clip_cea8ba5c3.wav,11
clip_bb9dbb780.wav,3
clip_c60500618.wav,10
clip_a637528fc.wav,11
clip_f0209f246.wav,11
clip_8452faeb3.wav,7
clip_c38ce6966.wav,11
clip_04c95f64d.wav,10
clip_5bcbf1616.wav,10
clip_bc1026f9f.wav,11
clip_bc6b0d81b.wav,11
clip_7c1bd9d51.wav,11
clip_2cfdb9efb.wav,11
clip_35566552a.wav,10
clip_047b18db8.wav,11
clip_4dac002d6.wav,10
clip_709bb7b88.wav,11
clip_b0f7978be.wav,10
clip_4b923e50c.wav,11
clip_8b7bb473e.wav,10
clip_bcf79df42.wav,7
clip_0f57adc16.wav,10
clip_d628fa7d6.wav,11
clip_487247811.wav,7
clip_c479403f9.wav,3
clip_9f56a2e92.wav,10
clip_8e41eb388.wav,11
clip_8111bb55f.wav,0
clip_1870514f7.wav,10
clip_110b6d9b2.wav,10
clip_53dea6353.wav,3
clip_715e86e93.wav,7
clip_6e0af218a.wav,10
clip_cce8769ef.wav,6
clip_f4a60330c.wav,6
clip_7537123c7.wav,10
clip_f81bcaa44.wav,11
clip_6d312d0d4.wav,6
clip_335d4a65e.wav,10
clip_05802df40.wav,10
clip_ac1444484.wav,10
clip_7b9309d14.wav,7
clip_cb65717f1.wav,11
clip_a962f3f7f.wav,10
clip_839538c20.wav,11
clip_b665f2b05.wav,11
clip_cb5d2bbff.wav,10
clip_9844fb44f.wav,6
clip_9964c305e.wav,11
clip_8b7e9cc4c.wav,10
clip_e68ec8541.wav,11
clip_1e1e4ace4.wav,11
clip_dfdaedb89.wav,6
clip_670a15888.wav,11
clip_2927bd7ff.wav,7
clip_a7118a98b.wav,10
clip_91775c0d1.wav,10
clip_34c90eba9.wav,10
clip_2db428a54.wav,10
clip_7b17cacd2.wav,0
clip_92bebb22e.wav,10
clip_41bc85333.wav,11
clip_8104b5b43.wav,7
clip_2ac98199f.wav,0
clip_4b326c02c.wav,3
clip_b3fb9b2c3.wav,7
clip_02ace97f5.wav,11
clip_b45099fa1.wav,10
clip_2da1273dd.wav,10
clip_63dd197a0.wav,11
clip_749601ddb.wav,11
clip_03622312c.wav,3
clip_124d6b838.wav,10
clip_056e62c6b.wav,10
clip_8b46d664f.wav,11
clip_01cfa19e1.wav,10
clip_1fef816b2.wav,10
clip_e3d46d141.wav,10
clip_a499850bc.wav,10
clip_5ecd98e87.wav,3
clip_64c32febc.wav,10
clip_b489d6bbd.wav,11
clip_80318393d.wav,10
clip_de48973ec.wav,7
clip_ea643ed0e.wav,7
clip_a9c6c4c6c.wav,10
clip_1898ac0bb.wav,11
clip_e0e166b90.wav,11
clip_821b53cd5.wav,10
clip_96f6db7ab.wav,7
clip_6d415bd1c.wav,11
clip_46e89f75c.wav,6
clip_faabbe0f3.wav,11
clip_43741fa3c.wav,10
clip_8e3262bb2.wav,10
clip_09886bbcb.wav,11
clip_3920656c8.wav,11
clip_7e66e3033.wav,10
clip_812858a73.wav,11
clip_b8fbefe26.wav,10
clip_58edd57ac.wav,10
clip_10661d030.wav,11
clip_cb424234c.wav,11
clip_3dbe1b073.wav,11
clip_5a67aeb47.wav,11
clip_a639294f8.wav,7
clip_525d2b8da.wav,6
clip_781ca6470.wav,7
clip_def948ee3.wav,11
clip_72bf5e730.wav,7
clip_9dedceef4.wav,10
clip_9d2d370ef.wav,11
clip_f1ccfc9d0.wav,10
clip_c35f6246e.wav,11
clip_17cb68d42.wav,10
clip_0a77f0879.wav,11
clip_668b9816a.wav,7
clip_8b21085c7.wav,0
clip_7102a633d.wav,7
clip_aa81718fb.wav,10
clip_3dd283338.wav,10
clip_df84132e2.wav,11
clip_4358ceba7.wav,10
clip_78216fea5.wav,10
clip_2e3bd6022.wav,11
clip_013ab3319.wav,11
clip_7381bd546.wav,11
clip_cb2b2251e.wav,11
clip_20c9c2e2d.wav,7
clip_efd1cae93.wav,11
clip_4234991d1.wav,10
clip_57b81c687.wav,11
clip_931379aca.wav,11
clip_0ec583a37.wav,11
clip_c4efbea81.wav,11
clip_c5e2f4d58.wav,10
clip_a881477ce.wav,6
clip_95abaed18.wav,10
clip_f769562cf.wav,10
clip_d525d9880.wav,6
clip_106e44b18.wav,10
clip_d30808d8d.wav,11
clip_036f62d0c.wav,10
clip_64f9e21c7.wav,11
clip_a375b38b2.wav,11
clip_4f3a2ab4d.wav,11
clip_0b5efc7b7.wav,10
clip_b4201ee42.wav,10
clip_737184fe9.wav,11
clip_c155d7f6f.wav,10
clip_767aea125.wav,11
clip_2ac37e100.wav,10
clip_5ba5e3ef7.wav,7
clip_288eb1655.wav,10
clip_93fe49640.wav,11
clip_1d21fc1d7.wav,3
clip_f4ab9fc9f.wav,10
clip_5f5297163.wav,10
clip_43bf932bd.wav,10
clip_73f8afd87.wav,7
clip_2322ff418.wav,10
clip_81ff47d73.wav,11
clip_6af9cf363.wav,7
clip_bd41b98b9.wav,11
clip_154970cdb.wav,10
clip_a40f40e6d.wav,11
clip_13716c635.wav,7
clip_fd4f630ca.wav,10
clip_a141251a8.wav,10
clip_ccad2e9b9.wav,10
clip_a6d5d959e.wav,10
clip_754e112db.wav,11
clip_2799a0bc5.wav,10
clip_f161ab161.wav,11
clip_ea3c771cf.wav,11
clip_ef5b07924.wav,10
clip_2a4e1cc24.wav,11
clip_c7fee0e10.wav,10
clip_494b69640.wav,11
clip_8121812bc.wav,10
clip_a91747a7a.wav,10
clip_2f1fa107e.wav,10
clip_a8954a077.wav,10
clip_b9f68665e.wav,10
clip_72532ccc7.wav,7
clip_072a9f17f.wav,10
clip_84b0d010c.wav,11
clip_cfcd65b3a.wav,11
clip_6cc5c25b7.wav,11
clip_ef33d9090.wav,10
clip_975ce95e2.wav,11
clip_bf1c52cfb.wav,11
clip_74bd4d6db.wav,10
clip_7dcc1740c.wav,10
clip_ba97e5f3f.wav,11
clip_7eb9e9cc7.wav,11
