fname,label
clip_a0cc041b6.wav,10
clip_cffd373ea.wav,11
clip_dbcad3812.wav,11
clip_aec9c59b8.wav,11
clip_f42fea5b3.wav,10
clip_b34f2bbec.wav,7
clip_9dd85c81d.wav,10
clip_abd7569fe.wav,10
clip_63c8a2098.wav,11
clip_16f953f1b.wav,10
clip_6f9a2a21f.wav,10
clip_69ca53808.wav,10
clip_a0a24f437.wav,7
clip_9ad028f0b.wav,10
clip_0b8df6f6a.wav,11
clip_c4a831873.wav,11
clip_190037f6e.wav,10
clip_8ecfc6726.wav,11
clip_f3453f809.wav,11
clip_2f25f96c3.wav,10
clip_d735db607.wav,11
clip_882d3df87.wav,10
clip_0dd3def9d.wav,11
clip_5ae94aefc.wav,11
clip_035fc54a9.wav,11
clip_c12831472.wav,11
clip_31a9dbffd.wav,10
clip_6b80a45bc.wav,11
clip_9966c228e.wav,7
clip_0a94b5cbf.wav,10
clip_ae1fe518b.wav,11
clip_2636b6a9a.wav,11
clip_2f375d5a2.wav,11
clip_d918a2b0a.wav,6
clip_64865a4b0.wav,11
clip_1811f6bb2.wav,10
clip_9a8039774.wav,7
clip_f156218a8.wav,10
clip_3719517dd.wav,10
clip_c45158e45.wav,11
clip_0daa61f4f.wav,7
clip_c36f8a07e.wav,10
clip_13e2d08e7.wav,11
clip_0889785ae.wav,10
clip_7c256c3b1.wav,10
clip_d36036e8a.wav,10
clip_eccddd8a9.wav,6
clip_1bf7910d2.wav,10
clip_f1b174318.wav,11
clip_52e9a34f8.wav,11
clip_afb13d0f2.wav,10
clip_b11027e52.wav,11
clip_93e12c495.wav,11
clip_b85d95a2b.wav,10
clip_88ed4a390.wav,10
clip_04ea33a1c.wav,10
clip_dc8f77e15.wav,11
clip_a249a905e.wav,11
clip_22f485b13.wav,11
clip_fc80512bc.wav,10
clip_4b1e4ef74.wav,10
clip_acda48ba4.wav,11
clip_ec7b8afc1.wav,10
clip_5ca52a906.wav,11
clip_fb889e6a8.wav,10
clip_9725a54a4.wav,10
clip_bf8a4aff1.wav,10
clip_a67186d81.wav,10
clip_4bba2025c.wav,11
clip_0063927bd.wav,7
clip_8c7d95606.wav,11
clip_6f32d7884.wav,10
clip_434d86db2.wav,11
clip_187133201.wav,11
clip_fcad968bf.wav,7
clip_8a390cc4f.wav,6
clip_dfa9d0a16.wav,10
clip_2ab0cb0fd.wav,11
clip_abf9be490.wav,11
clip_2f301ce23.wav,7
clip_ab6845b0f.wav,3
clip_665af631b.wav,10
clip_6a296ddc3.wav,6
clip_7e1d0afc3.wav,11
clip_c325e1fe8.wav,11
clip_689dcc430.wav,10
clip_539188585.wav,10
clip_c5eb00769.wav,11
clip_64352234a.wav,11
clip_55d09d8e6.wav,11
clip_7b5c2bfe3.wav,11
clip_debcd8c46.wav,11
clip_46f1a0f95.wav,7
clip_3da35d2ab.wav,10
clip_736a4a11e.wav,11
clip_1c4e62bac.wav,11
clip_3574701ad.wav,10
clip_4ccce562a.wav,7
clip_c3b9033d6.wav,11
clip_6addc8f52.wav,10
clip_563bb23d7.wav,11
clip_875714ff3.wav,10
clip_42bdde8bd.wav,11
clip_67b234e88.wav,10
clip_0180f0968.wav,10
clip_f0db7e999.wav,11
clip_0fa896c5a.wav,7
