fname,label
clip_ac7eec0fe.wav,10
clip_92d887e94.wav,7
clip_5c4203889.wav,11
clip_de2be52cb.wav,10
clip_aede31ee5.wav,7
clip_2e209e25a.wav,7
clip_0df17e2c5.wav,11
clip_958475570.wav,11
clip_60a70b63f.wav,10
clip_21ec36511.wav,11
clip_1719d985a.wav,10
clip_0153db13a.wav,10
clip_33df810fa.wav,11
clip_59f7056ee.wav,7
clip_fb0bcb50c.wav,3
clip_6d6bb00d4.wav,11
clip_3ab2a8d04.wav,7
clip_1605822c3.wav,6
clip_68d720987.wav,3
clip_abbd6c320.wav,3
clip_3f5beea65.wav,7
clip_7b7edaff8.wav,10
clip_4a669a263.wav,10
clip_2445d7461.wav,11
clip_7fca85424.wav,0
clip_f7b3cbdea.wav,10
clip_c96bd57e7.wav,10
clip_348b43403.wav,10
clip_37bdbbd76.wav,10
clip_5b168eb13.wav,11
clip_a71143272.wav,10
clip_59fe009a2.wav,11
clip_6c4b4628e.wav,4
clip_938fca9bb.wav,11
clip_aa4e0b24a.wav,11
clip_47128e0f8.wav,11
clip_76cbc2fad.wav,10
clip_59298e4be.wav,2
clip_cdf03e25b.wav,3
clip_d4d93d683.wav,11
clip_71e671303.wav,7
clip_7a9e0d615.wav,10
clip_f22111687.wav,10
clip_68c17a76e.wav,10
clip_dc3a7118f.wav,11
clip_2b2d990f1.wav,10
clip_398cabf9d.wav,10
clip_09c814623.wav,11
clip_23308254c.wav,11
clip_031a996e8.wav,10
clip_b831c37e6.wav,10
clip_081cd2f23.wav,10
clip_423e6763d.wav,11
clip_fbcadacb2.wav,11
clip_90cadfbb7.wav,11
clip_0b7298640.wav,10
clip_56e18e94f.wav,10
clip_cd5d44f21.wav,10
clip_fef0fd546.wav,11
clip_87927b753.wav,11
clip_ffd4389af.wav,10
clip_f72ef00f6.wav,10
clip_340ce7258.wav,11
clip_150c42a5c.wav,10
clip_bce6b190f.wav,11
clip_d61560916.wav,6
clip_fb282a510.wav,11
clip_161f6984a.wav,11
clip_a777ae356.wav,11
clip_ad1cc1ea7.wav,11
clip_87a933396.wav,11
clip_25f7cce89.wav,10
clip_6ecdfcff9.wav,10
clip_87a564a88.wav,11
clip_d474b8882.wav,5
clip_08cedf4da.wav,11
clip_51c30c7db.wav,11
clip_a0cf1860f.wav,11
clip_a78d3fe51.wav,11
clip_9234a5360.wav,10
clip_ca561c448.wav,11
clip_b5bdcb036.wav,11
clip_d580c4267.wav,11
clip_9e63bcebd.wav,11
clip_904711b30.wav,10
clip_7cbe8ecb7.wav,11
clip_705ae877b.wav,10
clip_2716de166.wav,10
clip_491a7f90d.wav,7
clip_c701f5f67.wav,11
clip_1f4cc1435.wav,10
clip_0f0ac9d9a.wav,10
clip_0a444ed07.wav,11
clip_f0be2dc60.wav,10
clip_c472207c7.wav,10
clip_a24be6e62.wav,6
clip_faf5905ca.wav,10
clip_d7703c620.wav,7
clip_aa59e604b.wav,10
clip_11d24fb4b.wav,11
clip_04f71200a.wav,10
clip_6c3a337c8.wav,10
clip_4db30866e.wav,6
clip_e1e2b25b3.wav,7
clip_74ab9e467.wav,11
clip_cee6cd36c.wav,10
clip_894626599.wav,10
clip_590fc5265.wav,10
clip_752841ab8.wav,10
clip_12f45eb4b.wav,10
clip_1ff742142.wav,3
clip_7749b430d.wav,11
clip_1304a586a.wav,7
clip_35610823f.wav,11
clip_6ca9133a7.wav,7
clip_d434b0242.wav,11
clip_d262746b1.wav,10
clip_d9e70aa66.wav,10
clip_4524f1aad.wav,10
clip_2cec23d2d.wav,10
clip_e82d63ac2.wav,10
clip_459e150df.wav,11
clip_ddf40c545.wav,11
clip_970d5d258.wav,10
clip_b51b43aad.wav,11
clip_60b3a255a.wav,10
clip_a87f16e84.wav,11
clip_4569742fe.wav,11
clip_74fc66d9d.wav,3
clip_28f219360.wav,10
clip_a600c0063.wav,7
clip_067223e3c.wav,6
clip_1d687dd94.wav,7
clip_0381490ba.wav,7
clip_8619dd517.wav,11
clip_d66cd1ca9.wav,10
clip_8059e6870.wav,11
clip_7b65f8887.wav,11
clip_6b9bc738c.wav,11
clip_aff3bc811.wav,10
clip_5dca75d62.wav,10
clip_16fa7f5bb.wav,3
clip_539cf3378.wav,11
clip_2d9176ab6.wav,10
clip_8c5b56432.wav,11
clip_a07af3471.wav,11
clip_393741686.wav,10
clip_03eb8622b.wav,6
clip_a7eaea320.wav,11
clip_fde5335c8.wav,11
clip_2e06224b7.wav,11
clip_ac267ba4e.wav,11
clip_b08696911.wav,10
clip_fe4b6c40a.wav,10
clip_ca923431d.wav,10
clip_3e237c9de.wav,10
