fname,label
clip_bf0432a42.wav,11
clip_6056ff907.wav,10
clip_189d4cc7d.wav,7
clip_d7e43a7cf.wav,10
clip_f55b960dd.wav,10
clip_bbd22aa23.wav,10
clip_d71458312.wav,10
clip_6c98140d4.wav,11
clip_4cc380340.wav,10
clip_7f848bb52.wav,10
clip_1133bd3e0.wav,11
clip_530b63feb.wav,6
clip_7c18fce40.wav,11
clip_199faa560.wav,11
clip_be9af8b03.wav,10
clip_4a6098aeb.wav,10
clip_9c43197c0.wav,10
clip_4bc7bbffb.wav,10
clip_316f25980.wav,11
clip_eb495b968.wav,11
clip_0f848299c.wav,10
clip_9a225f08f.wav,11
clip_45bdd1205.wav,11
clip_5c4bd5c3e.wav,10
clip_211017272.wav,10
clip_e6e6f22b8.wav,10
clip_4956f69ef.wav,3
clip_9da56a066.wav,11
clip_77b957749.wav,10
clip_93dd1fde6.wav,10
clip_f84a55b32.wav,10
clip_d5e741067.wav,10
clip_4cfef6b83.wav,11
clip_af3d00f3b.wav,10
clip_5323d6b92.wav,9
clip_58575df64.wav,7
clip_2b646a21f.wav,10
clip_80f9af833.wav,11
clip_72cd34471.wav,10
clip_ff4fd344d.wav,11
clip_8860e0b57.wav,10
clip_8451c01b7.wav,11
clip_d5016f6b9.wav,11
clip_6a5170ef9.wav,11
clip_e17582f4e.wav,10
clip_9d112d499.wav,0
clip_126e90ad6.wav,11
clip_cf1d3cc91.wav,11
clip_bfbd9fe19.wav,11
clip_f52c5e512.wav,11
clip_9db08a2b0.wav,5
clip_410a83d44.wav,11
clip_bad5d2c8a.wav,11
clip_7b5df3936.wav,5
clip_5a401d7e3.wav,10
clip_719c5ac87.wav,7
clip_8f78b8e60.wav,10
clip_d3d4a6249.wav,10
clip_18b58d9f4.wav,7
clip_fa08290db.wav,11
clip_638a7c647.wav,7
clip_204f163b0.wav,3
clip_cc97f2583.wav,10
clip_f31025a73.wav,11
clip_9074971b6.wav,11
clip_6b6aa0a1a.wav,7
clip_9064be806.wav,10
clip_fc35b3ee7.wav,10
clip_d5e1d3347.wav,10
clip_fbdbaf4c0.wav,11
